name,date,error,count,cycles,hz
"Class.js","Tue Apr 30 2013 17:03:38 GMT-0700 (PDT)",,814222,5,15916431.232658673
"Resig","Tue Apr 30 2013 17:03:43 GMT-0700 (PDT)",,841580,4,15085374.880635513
"Native","Tue Apr 30 2013 17:03:49 GMT-0700 (PDT)",,2214901,6,37603766.449106455
"Class.js","Tue Apr 30 2013 17:03:54 GMT-0700 (PDT)",,21176,4,400914.51719056146
"Resig","Tue Apr 30 2013 17:04:00 GMT-0700 (PDT)",,59017,3,1008674.0039635949
"Native (new)","Tue Apr 30 2013 17:04:05 GMT-0700 (PDT)",,33916,3,326211.7913161243
"Native (Object.create)","Tue Apr 30 2013 17:04:11 GMT-0700 (PDT)",,34722,4,337847.2463857746
"Class.js","Tue Apr 30 2013 17:04:16 GMT-0700 (PDT)",,3778,4,52913.25619455356
"Resig","Tue Apr 30 2013 17:04:22 GMT-0700 (PDT)",,11921,3,114177.72484002225
"Native (new)","Tue Apr 30 2013 17:04:28 GMT-0700 (PDT)",,15165,3,173982.9207922495
"Native (Object.create)","Tue Apr 30 2013 17:04:33 GMT-0700 (PDT)",,11782,3,142001.38385084237
"Class.js","Tue Apr 30 2013 17:04:39 GMT-0700 (PDT)",,128036,5,2438529.3779048263
"Resig","Tue Apr 30 2013 17:04:44 GMT-0700 (PDT)",,46064,6,669113.6400546591
"Native","Tue Apr 30 2013 17:04:50 GMT-0700 (PDT)",,527740,4,9804469.770288473
